Date,Closing Price,Volume,Open Price,Closing Price 1 Day Ago,High Price,Low Price
10-04-2023,338.99,2650954,335.27,339.33,339.88,333.36
06-04-2023,339.33,4660542,339.34,342.35,340.48,332.63
05-04-2023,342.35,4205545,345.3,346.75,345.43,336.2526
04-04-2023,346.75,3298072,348.49,348.28,349.8,343.95
03-04-2023,348.28,4413650,341.83,345.48,348.58,340.4001
31-03-2023,345.48,5610161,340.05,338.43,345.84,337.2001
30-03-2023,338.43,7131468,340.2699,332.03,343.29,335.3
29-03-2023,332.03,6287336,326.29,323.52,332.85,325.73
28-03-2023,323.52,6489388,326.06,327.66,333.32,321.28
27-03-2023,327.66,8625763,327.55,328.39,336.44,324.41
24-03-2023,328.39,13004085,320.63,320.37,331.83,320.63
23-03-2023,320.37,15653347,304.68,293.9,322.78,304.14
22-03-2023,293.9,5808035,306.31,305.79,306.45,293.54
21-03-2023,305.79,4886279,306.32,305.13,307.92,300.43
20-03-2023,305.13,5113430,299.79,303.5,307.5,296
17-03-2023,303.5,6918777,310.06,310.06,310.76,300
16-03-2023,310.06,7912371,304.75,303.79,316.6,301.71
15-03-2023,303.79,9215340,292.51,294.94,306.31,292.28
14-03-2023,294.94,5956692,295.97,293.51,297.45,290.31
13-03-2023,293.51,6292385,287.34,292.76,299.24,285.3301
10-03-2023,292.76,5759315,297.905,297.78,298.79,289
09-03-2023,297.78,7443350,312.08,311.79,312.51,294.88
08-03-2023,311.79,3479474,309.29,308.47,311.83,305.75
07-03-2023,308.47,4553082,312.675,312.03,314.3,306.6226
06-03-2023,312.03,5660743,317,315.18,323.3,311.8412
03-03-2023,315.18,5953319,315.45,311.88,317.49,310.82
02-03-2023,311.88,4921053,310.96,313.48,315.57,310.38
01-03-2023,313.48,4911311,321.55,322.13,326.6,312.36
28-02-2023,322.13,3676075,323.7,323.03,327.62,321.17
27-02-2023,323.03,6142580,323.87,317.15,330,322.121
24-02-2023,317.15,6830692,319.3,323.65,321.5,314.52
23-02-2023,323.65,13238673,331.23,334.88,331.28,314.3
22-02-2023,334.88,4546249,337.5,337.5,341.91,332.82
21-02-2023,337.5,5710292,342.85,347.96,344.1253,336.4177
17-02-2023,347.96,5294727,347.905,350.71,349,342.44
16-02-2023,350.71,5215726,355,361.42,361.5,350.31
15-02-2023,361.42,3969945,356.63,359.96,362.88,354.24
14-02-2023,359.96,4624758,357.55,358.57,363.75,353.4
13-02-2023,358.57,7134445,349.5,347.36,359.7034,344.25
10-02-2023,347.36,7291096,359.16,362.5,362.14,347.14
09-02-2023,362.5,6901100,372.41,366.83,373.83,361.7444
08-02-2023,366.83,6253179,360.02,362.95,368.193,358.31
07-02-2023,362.95,6289368,358.51,361.48,364.1799,354.18
06-02-2023,361.48,4994942,363.642,365.9,368.45,360.68
03-02-2023,365.9,9402034,359.08,366.89,379.4301,359
02-02-2023,366.89,7856952,365.16,361.99,368.32,358.43
01-02-2023,361.99,8005170,353.86,353.86,365.385,349.91
31-01-2023,353.86,5660738,349.98,353.11,355.95,348.71
30-01-2023,353.11,5127593,358.44,360.77,360.95,352.855
27-01-2023,360.77,6703548,363.2,364.87,365.92,360.59
26-01-2023,364.87,8256844,368.77,367.96,369.02,361.7
25-01-2023,367.96,7766907,360.57,363.83,368.8999,358.501
24-01-2023,363.83,11796528,357.53,357.42,365.65,355.1401
23-01-2023,357.42,15646853,341.715,342.5,362.2453,340.6329
20-01-2023,342.5,28430340,336.79,315.78,344,332.625
19-01-2023,315.78,18008196,322.57,326.33,324.89,313.39
18-01-2023,326.33,7814115,326.75,326.22,330.08,321.25
17-01-2023,326.22,9246987,331.08,332.82,332.5,323.6
13-01-2023,332.82,8286816,329.97,330.13,336.65,328.885
12-01-2023,330.13,10856246,332.5,327.26,332.95,323.14
11-01-2023,327.26,9579681,326.5,327.54,328.88,321.35
10-01-2023,327.54,13072286,311.07,315.17,329.35,311.07
09-01-2023,315.17,6766628,316.83,315.55,321.7,313.22
06-01-2023,315.55,8959839,311.57,309.7,316.77,303.69
05-01-2023,309.7,8328390,307,309.41,314.18,304.545
04-01-2023,309.41,9345054,298.24,294.95,311.135,295.51
03-01-2023,294.95,6763964,298.06,294.88,298.39,288.7
30-12-2022,294.88,7566892,285.53,291.12,295.01,283.22
29-12-2022,291.12,9588527,283.18,276.88,295.4999,281.01
28-12-2022,276.88,5964369,281.92,284.17,285.19,273.41
27-12-2022,284.17,5778098,293.19,294.965,293.57,282.13
23-12-2022,294.965,4251108,296.18,297.75,298.4614,291.91
22-12-2022,297.75,7856192,298.09,297.96,298.88,290.8131
21-12-2022,297.96,6376173,289.99,288.19,300.66,286.5
20-12-2022,288.19,6918114,281.24,288.3,289.28,280.81
19-12-2022,288.3,6163667,289.73,290.71,292.25,286.13
16-12-2022,290.71,14080045,288.76,290.41,294.7199,288.7
15-12-2022,290.41,17724556,302.12,317.83,303.39,286.55
14-12-2022,317.83,7543291,318.97,320.34,324.71,314.42
13-12-2022,320.34,10756428,328,315.18,332.7236,317.199
12-12-2022,315.18,10148614,320,320.01,323.18,308.85
09-12-2022,320.01,14364032,321.45,310.26,329,319.52
08-12-2022,310.26,7205326,309.11,308.42,312.38,304.8098
07-12-2022,308.42,7821634,306.5,305.56,309.61,302.1
06-12-2022,305.56,7195395,311,312.59,313.2231,303.13
05-12-2022,312.59,8423029,316.46,320.41,322.77,310.92
02-12-2022,320.41,12690602,310.49,316.95,321.99,310
01-12-2022,316.95,14664866,303.99,305.53,319.8,303.03
30-11-2022,305.53,16070120,281.37,280.96,308.26,280.41
29-11-2022,280.96,5786874,282.5,281.17,282.96,275.94
28-11-2022,281.17,4707049,284,285.54,289.55,280.53
25-11-2022,285.54,3235953,289,291.5,289.21,284.17
23-11-2022,291.5,5918988,285.91,286.69,292.47,283.76
22-11-2022,286.69,6245119,284.99,285.05,286.98,277.34
21-11-2022,285.05,7256507,291,287.98,291.87,282.66
18-11-2022,287.98,8400108,297.33,295.28,298,287
17-11-2022,295.28,9838220,294.72,306.02,299.82,291
16-11-2022,306.02,8038556,309.94,310.2,310.49,303.61
15-11-2022,310.2,14626932,309.2,299.27,312.71,302.55
14-11-2022,299.27,17973398,290,290.13,311,288.19
11-11-2022,290.13,9573834,274.47,274.97,290.66,271.5577
10-11-2022,274.97,9667323,265.99,254.66,275.36,260.0901
09-11-2022,254.66,7265994,259.66,263.46,260.9,254.2202
08-11-2022,263.46,7683826,259.92,258.6,266.08,256.8801
07-11-2022,258.6,7927033,261.06,260.79,261.155,252.09
04-11-2022,260.79,11124694,272.02,269.06,274.97,255.32
03-11-2022,269.06,7057350,271.25,273,276.29,268.8
02-11-2022,273,10367620,286.4,286.75,287.33,272.84
01-11-2022,286.75,6916424,296.17,291.88,299.7,286.42
31-10-2022,291.88,7505133,295.13,295.72,297.6199,289.5
28-10-2022,295.72,9960547,297.7,296.94,301.19,292.2924
27-10-2022,296.94,14612586,298.33,298.62,305.21,294.78
26-10-2022,298.62,15749252,290.04,291.02,305.63,288.04
25-10-2022,291.02,15100718,286.95,282.45,297.59,285.5501
24-10-2022,282.45,13326418,290.23,289.57,290.49,280.36
21-10-2022,289.57,24889056,268.95,268.16,290.75,265.68
20-10-2022,268.16,17207104,272.78,272.38,278.3755,266.38
19-10-2022,272.38,46685256,265,240.86,279.3,262.66
18-10-2022,240.86,25776732,249.8,245.1,250.37,237.73
17-10-2022,245.1,21057824,234.41,230,249.9221,234.4
14-10-2022,230,15293400,237.8,232.51,238.8,229.51
13-10-2022,232.51,17505012,212.69,220.87,234.47,211.73
12-10-2022,220.87,12952643,214.3,214.29,223.67,212.64
11-10-2022,214.29,15282411,226.05,229.98,230.44,213.7
10-10-2022,229.98,9991145,225.64,224.75,233.83,224.23
07-10-2022,224.75,9806128,235.77,240.02,237.33,224.28
06-10-2022,240.02,9188940,236.68,236.73,244.28,233.9101
05-10-2022,236.73,10825633,238.76,240.74,241.59,227.38
04-10-2022,240.74,13925854,244.84,239.04,245.7999,233.25
03-10-2022,239.04,8657443,237.85,235.44,241.54,232.85
30-09-2022,235.44,11848607,237,239.71,242.44,233.26
29-09-2022,239.71,18994944,241.61,245.2,246.98,235.68
28-09-2022,245.2,17579670,229.69,224.36,246.65,227.38
27-09-2022,224.36,7762223,228.63,224.07,230.64,220.72
26-09-2022,224.07,8234285,225.6,226.41,232.7,223.01
23-09-2022,226.41,11207228,235.14,237.05,236.4499,221.43
22-09-2022,237.05,10017965,235.35,236.87,240.5,231.66
21-09-2022,236.87,9166772,242.67,242.85,248.2999,236.68
20-09-2022,242.85,16037431,240.37,243.63,250.49,239.66
19-09-2022,243.63,17912370,245.05,240.13,245.25,235.75
16-09-2022,240.13,18914176,231.22,235.38,241.355,227.83
15-09-2022,235.38,19454122,230.47,224.12,242.2871,229.1
14-09-2022,224.12,8230340,219.82,218.13,228,215.8
13-09-2022,218.13,8000128,226.5,236.53,227.69,217.72
12-09-2022,236.53,6047425,233.61,233.57,239.49,233.37
09-09-2022,233.57,6702060,229.62,227.44,234.7799,229.62
08-09-2022,227.44,6737436,224.16,228.96,228.735,221.3
07-09-2022,228.96,8149329,220.21,218.39,229.33,218.2681
06-09-2022,218.39,7469016,225.59,226.11,226.85,214.69
02-09-2022,226.11,8164883,231.03,230.04,233.8814,225.04
01-09-2022,230.04,7292917,220.72,223.56,230.37,219.47
31-08-2022,223.56,8615906,227,220.65,233.8787,223.43
30-08-2022,220.65,5740434,226.66,224.57,229.79,218.74
29-08-2022,224.57,7109397,221.93,223.28,229.87,221.52
26-08-2022,223.28,5349848,233.625,233.98,236.95,223.15
25-08-2022,233.98,3766867,230.24,229.61,234.16,229
24-08-2022,229.61,5426316,225.66,224.55,234.1,223.94
23-08-2022,224.55,5276945,226.46,226.54,229.9,224.3
22-08-2022,226.54,8630094,232.55,241.16,233.475,224.59
19-08-2022,241.16,7504707,240.95,245.17,243.29,235.68
18-08-2022,245.17,5280387,241.96,241.15,246.4794,239.2801
17-08-2022,241.15,5627224,241.18,245.69,244.24,237.56
16-08-2022,245.69,5136806,247.16,249.11,249.29,244.03
15-08-2022,249.11,6527391,248.11,249.3,251.99,247.51
12-08-2022,249.3,6098531,244.81,242.7,249.41,243.76
11-08-2022,242.7,8780062,244.68,244.11,251.62,241.51
10-08-2022,244.11,9254760,236.99,229.94,244.54,236.5958
09-08-2022,229.94,6181194,231.62,233.49,232.1999,224.65
08-08-2022,233.49,10997409,227.49,226.78,241.9599,226.41
05-08-2022,226.78,5539733,225.3,229.91,228.62,222.87
04-08-2022,229.91,7142741,227.68,226.73,232.07,225.05
03-08-2022,226.73,6400701,224.79,221.42,228.1,222.42
02-08-2022,221.42,6361327,222.76,226.21,228.2,220.88
01-08-2022,226.21,5525044,223.095,224.9,228.39,221
29-07-2022,224.9,9064937,223.29,226.02,230.75,222.4
28-07-2022,226.02,8972738,224.6,226.75,228.1,219.67
27-07-2022,226.75,10508385,216.48,213.91,227.78,214.58
26-07-2022,213.91,9508532,216.66,218.51,219.39,211.64
25-07-2022,218.51,10935247,221.31,220.44,225.23,216.35
22-07-2022,220.44,17805452,222.38,223.88,229.35,218.44
21-07-2022,223.88,23430116,214.3,216.44,224.32,211.5
20-07-2022,216.44,53920264,208.17,201.63,216.9699,200.1
19-07-2022,201.63,28178716,193.02,190.92,201.97,188.4
18-07-2022,190.92,16322845,192.5,189.11,199.67,189.8
15-07-2022,189.11,16319116,175.58,174.78,189.22,174.56
14-07-2022,174.78,9039457,175.56,176.56,177.52,171.82
13-07-2022,176.56,12734421,170.5,174.45,179.18,169.702
12-07-2022,174.45,6845264,177.33,177.34,179.7839,173.42
11-07-2022,177.34,6048447,184.73,186.975,184.99,176.89
08-07-2022,186.975,5835680,186.02,189.27,189.91,182.75
07-07-2022,189.27,6334545,184.27,184.06,190.21,183.5
06-07-2022,184.06,5753385,185.2,185.88,186.22,180.82
05-07-2022,185.88,7339023,176.28,179.95,185.92,172.6801
01-07-2022,179.95,5201583,176.49,174.87,180.1,174.27
30-06-2022,174.87,7894710,177.07,178.36,179.45,170.3
29-06-2022,178.36,5766847,179.55,179.6,180.665,175.1
28-06-2022,179.6,7201897,189.2,189.14,192.2,179.37
27-06-2022,189.14,8363879,191.77,190.85,191.78,182.39
24-06-2022,190.85,12423974,183.5,181.71,191.19,181.84
23-06-2022,181.71,9538226,180.5,178.89,182.76,175.87
22-06-2022,178.89,12010615,170.75,170.91,182.82,170.2
21-06-2022,170.91,12177592,177.6,175.51,178.6189,169.8
17-06-2022,175.51,12133372,173.63,173.35,179.65,173.34
16-06-2022,173.35,8201306,174,180.11,176.27,171.56
15-06-2022,180.11,12396041,169.258,167.54,183.845,168.53
14-06-2022,167.54,11555323,169.75,169.69,172.0622,164.28
13-06-2022,169.69,10222407,177.07,182.94,179.09,168.9571
10-06-2022,182.94,13074280,182.64,192.77,185.86,180.85
09-06-2022,192.77,6948967,200.65,202.83,201.69,192.54
08-06-2022,202.83,7244121,197.95,198.61,207.38,197.64
07-06-2022,198.61,4839491,194.87,197.14,199.6,193
06-06-2022,197.14,5372043,202.09,198.98,203.87,195.38
03-06-2022,198.98,7191775,200.14,205.09,202.95,198.05
02-06-2022,205.09,9623121,192.02,192.91,205.47,191.72
01-06-2022,192.91,8416151,198.7,197.44,202.74,191.6606
31-05-2022,197.44,11398460,196.18,195.19,199.95,190.8
27-05-2022,195.19,8585987,193.19,191.4,195.25,190.3722
26-05-2022,191.4,8049933,186.49,187.83,192.3402,183.0916
25-05-2022,187.83,8522092,180.28,180.34,188.87,180.17
24-05-2022,180.34,7706372,182,187.44,184,177.17
23-05-2022,187.44,9602027,186.15,186.35,187.66,177.89
20-05-2022,186.35,10429396,185.8665,183.48,190.19,179.77
19-05-2022,183.48,10448513,178.045,177.19,186.3,175.71
18-05-2022,177.19,9665632,186.72,190.56,187.7,176.27
17-05-2022,190.56,9876685,189.17,186.51,191.4,185.17
16-05-2022,186.51,16145011,193.3,187.64,195.89,185.7
13-05-2022,187.64,13136334,177.16,174.31,187.77,176.01
12-05-2022,174.31,17662118,163.96,166.37,177.58,162.71
11-05-2022,166.37,12665518,176.09,177.66,180.92,165.55
10-05-2022,177.66,13883905,176.01,173.1,181.8712,170.57
09-05-2022,173.1,14031327,177.655,180.97,183.2,172.3
06-05-2022,180.97,17185476,186.75,188.32,187.21,175.81
05-05-2022,188.32,13971326,200.45,204.01,200.71,186
04-05-2022,204.01,12218781,197.65,199.87,204.38,191.01
03-05-2022,199.87,11839431,198.29,199.46,203.2,194.77
02-05-2022,199.46,14591602,191.71,190.36,200.2141,190.01
29-04-2022,190.36,16391889,198.68,199.52,204.71,190
28-04-2022,199.52,21363162,191.56,188.54,201.48,185.6
27-04-2022,188.54,22298394,194.005,198.4,200.19,187.77
26-04-2022,198.4,20318088,208.8,209.91,209.15,198.2773
25-04-2022,209.91,28152044,213.81,215.52,216.66,204.51
22-04-2022,215.52,37515128,220.18,218.22,226.27,210.05
21-04-2022,218.22,53501604,220,226.19,227.68,211.52
20-04-2022,226.19,133387480,245.2,348.61,248.7,212.51
19-04-2022,348.61,20906884,333.22,337.86,351.68,333.22
18-04-2022,337.86,5105041,340,341.13,342.36,331.615
14-04-2022,341.13,4343837,350.95,350.43,352,339.86
13-04-2022,350.43,3230950,343.92,344.1,352,341.155
12-04-2022,344.1,3824261,355.91,348,359.41,342.25
11-04-2022,348,3777096,350,355.88,354.78,345.2
08-04-2022,355.88,4025183,361.96,362.15,362.5,354.865
07-04-2022,362.15,4948909,365,368.35,368.54,353.6897
06-04-2022,368.35,4354885,374.15,380.15,376.4699,362.73
05-04-2022,380.15,4234508,389.3,391.5,390,377.305
04-04-2022,391.5,7009235,373.55,373.47,396.02,373.13
01-04-2022,373.47,4644237,376.8,374.59,380.87,368.5
31-03-2022,374.59,4134720,383.59,381.47,384,373.61
30-03-2022,381.47,4023301,389.55,391.82,392.7,378.625
29-03-2022,391.82,5880723,384.39,378.51,396.5,380.33
28-03-2022,378.51,4323435,375.23,373.85,380.28,366.73
25-03-2022,373.85,3575953,377.07,375.71,377.64,366.43
24-03-2022,375.71,3888461,379.76,374.49,379.76,368.9
23-03-2022,374.49,3728954,379.77,382.92,382.46,374.49
22-03-2022,382.92,4242762,371.14,374.59,386.66,366.76
21-03-2022,374.59,4866463,378.02,380.6,381.82,368.94
18-03-2022,380.6,8324825,372,371.4,381.8,368.47
17-03-2022,371.4,5818348,359.7,357.53,373.31,354.88
16-03-2022,357.53,6982469,348.2,343.75,359.99,343.06
15-03-2022,343.75,5460640,335.1,331.01,345.36,332.36
14-03-2022,331.01,5907817,338.72,340.32,341.32,329.82
11-03-2022,340.32,4819925,361.19,356.77,363.36,340
10-03-2022,356.77,4807767,356.2,358.79,367.02,353.3
09-03-2022,358.79,6520186,357.685,341.76,364.14,350.5089
08-03-2022,341.76,6428655,349.8,350.26,358.86,340.67
07-03-2022,350.26,5708383,360.41,361.73,361.995,350.2
04-03-2022,361.73,5329180,368,368.07,374.8186,357.17
03-03-2022,368.07,6076836,386,380.03,386.12,364.65
02-03-2022,380.03,5356809,388.93,386.24,389.22,375.21
01-03-2022,386.24,3290439,391.6,394.52,395,383.705
28-02-2022,394.52,5035046,387.33,390.8,397.75,382.13
25-02-2022,390.8,4841636,386.61,390.03,391.29,375.58
24-02-2022,390.03,7068724,355.09,367.46,390.73,354.72
23-02-2022,367.46,4614290,382.72,377.38,386,366.66
22-02-2022,377.38,6697515,388.95,391.29,392.42,373.02
18-02-2022,391.29,6801668,392.53,386.67,402.87,389.0466
17-02-2022,386.67,4669222,394.235,398.08,399.11,385.7
16-02-2022,398.08,5277650,401.53,407.46,401.56,390.3842
15-02-2022,407.46,5395641,403.79,396.57,409.1619,401.01
14-02-2022,396.57,7202155,387.59,391.31,409.36,386.891
11-02-2022,391.31,7558939,405.33,406.27,411.6103,387.65
10-02-2022,406.27,8452915,402.1,412.89,408,396.36
09-02-2022,412.89,7738227,408.65,403.53,412.98,398.79
08-02-2022,403.53,6818543,398.18,402.1,406.61,395.83
07-02-2022,402.1,8232859,410.17,410.17,412.35,393.55
04-02-2022,410.17,7789798,407.31,405.6,412.77,396.6391
03-02-2022,405.6,9905210,421.44,429.48,429.26,404.28
02-02-2022,429.48,14346010,448.25,457.13,451.98,426.48
01-02-2022,457.13,22568100,432.96,427.14,458.48,425.5401
31-01-2022,427.14,20047452,401.97,384.36,427.7,398.2
28-01-2022,384.36,11966605,386.76,386.7,387,372.08
27-01-2022,386.7,24324748,382.06,359.7,394.8,378.1
26-01-2022,359.7,12683981,378.27,366.42,382.66,356.62
25-01-2022,366.42,15145816,379.14,387.15,387.71,365.13
24-01-2022,387.15,32386782,383.91,397.5,387.26,351.46
21-01-2022,397.5,58904264,400.425,508.25,409.1499,379.99
20-01-2022,508.25,12658993,517.7498,515.86,526.64,506.93
19-01-2022,515.86,4353508,515,510.8,523.21,510.51
18-01-2022,510.8,4844418,520.08,525.69,521.75,508.68
14-01-2022,525.69,7861109,517.6,519.2,538.37,511.88
13-01-2022,519.2,4475063,537.06,537.22,540.79,518.26
12-01-2022,537.22,3787372,544.27,540.84,544.27,532.02
11-01-2022,540.84,3077836,536.99,539.85,543.91,530.07
10-01-2022,539.85,4486145,538.49,541.06,543.69,526.32
07-01-2022,541.06,3382873,549.46,553.29,553.43,538.2175
06-01-2022,553.29,5711795,554.34,567.52,563.36,542.01
05-01-2022,567.52,4148749,592,591.15,592.84,566.88
04-01-2022,591.15,4393135,599.91,597.37,600.4099,581.6
03-01-2022,597.37,3068808,605.61,602.44,609.99,590.56
31-12-2021,602.44,1995918,610.01,612.09,614.075,602.05
30-12-2021,612.09,1625093,612.99,610.54,620.61,611.2401
29-12-2021,610.54,1287513,610.71,610.71,613.98,604.68
28-12-2021,610.71,1884116,614.95,613.12,618.41,609.69
27-12-2021,613.12,2062233,615,614.09,615,609.25
23-12-2021,614.09,1621146,616.4,614.24,616.88,607.57
22-12-2021,614.24,2335745,603.36,604.92,614.82,602.63
21-12-2021,604.92,2319390,597.5434,593.74,607.82,593.8611
20-12-2021,593.74,3358404,586.43,586.73,602.8847,584.26
17-12-2021,586.73,4433706,591.61,591.06,593.25,581.74
16-12-2021,591.06,3143217,597.09,605.04,602.8308,588
15-12-2021,605.04,2866196,598.18,597.99,605.69,584.51
14-12-2021,597.99,2984536,598.71,604.56,602.29,588.13
13-12-2021,604.56,2517915,612,611.66,612.64,599.52
10-12-2021,611.66,2748774,616.78,611,617.74,605.88
09-12-2021,611,2376321,627.58,628.08,630.24,610.44
08-12-2021,628.08,2220308,630,625.58,632.455,623.2
07-12-2021,625.58,3125190,619.83,612.69,628.89,611.4
06-12-2021,612.69,3075672,606.01,602.13,617.29,601
03-12-2021,602.13,4829282,622.75,616.47,625.5,594
02-12-2021,616.47,3331131,617.1,617.77,625.36,612.88
01-12-2021,617.77,3897019,649.48,641.9,654.52,617.07
30-11-2021,641.9,5608919,668.1975,663.84,675.38,640.01
29-11-2021,663.84,2529364,663.2,665.64,667.99,658.29
26-11-2021,665.64,2872513,675,658.29,676.405,660.67
24-11-2021,658.29,1867282,658.01,654.06,661.44,651.1
23-11-2021,654.06,2320917,658.18,659.2,666.43,646.05
22-11-2021,659.2,2765318,676.02,678.8,679.48,656.47
19-11-2021,678.8,2614852,692.35,682.02,694.16,675
18-11-2021,682.02,2014992,691.61,691.69,691.74,679.735
17-11-2021,691.69,2732831,690,687.4,700.9894,686.09
16-11-2021,687.4,2077387,678.27,679.33,688.3599,676.9
15-11-2021,679.33,2872186,681.235,682.61,685.2599,671.49
12-11-2021,682.61,4198410,660.01,657.58,683.34,653.82
11-11-2021,657.58,2868311,650.24,646.91,665.82,649.705
10-11-2021,646.91,2405785,653.01,655.99,660.3306,642.11
09-11-2021,655.99,2415630,653.7,651.45,660.5,650.52
08-11-2021,651.45,2887523,650.29,645.72,656,643.79
05-11-2021,645.72,5283488,663.97,668.4,665.64,645.01
04-11-2021,668.4,4865023,685.89,688.29,685.94,665.5
03-11-2021,688.29,2334852,677.27,677.72,689.39,677.27
02-11-2021,677.72,3888597,683.11,681.17,687.68,673.82
01-11-2021,681.17,3110911,689.06,690.31,689.97,676.54
29-10-2021,690.31,3825279,673.06,674.05,690.9699,671.24
28-10-2021,674.05,2859409,670.9493,662.92,676.8,668.03
27-10-2021,662.92,2276914,669,668.52,671.41,661.85
26-10-2021,668.52,2904840,673.76,671.66,676.4899,662.77
25-10-2021,671.66,3833526,663.74,664.78,675.88,657.07
22-10-2021,664.78,6186016,651.81,653.16,665.46,651.81
21-10-2021,653.16,8437070,628.89,625.14,654.01,628.65
20-10-2021,625.14,10621997,625.5728,639,637.4,617.15
19-10-2021,639,7633147,636.969,637.97,641,632.3
18-10-2021,637.97,4669071,632.1,628.29,638.41,620.5901
15-10-2021,628.29,4116874,638,633.8,639.42,625.16
14-10-2021,633.8,2672535,632.23,629.76,636.88,626.79
13-10-2021,629.76,2424638,632.1791,624.94,632.1791,622.1
12-10-2021,624.94,3227349,633.02,627.04,637.655,621.99
11-10-2021,627.04,2862470,633.195,632.66,639.42,626.78
08-10-2021,632.66,3272093,634.165,631.85,643.8,630.86
07-10-2021,631.85,3556886,642.2252,639.1,646.84,630.45
06-10-2021,639.1,4580434,628.18,634.81,639.8699,626.36
05-10-2021,634.81,9534293,606.94,603.35,640.39,606.89
04-10-2021,603.35,4995932,613.39,613.15,626.125,594.68
01-10-2021,613.15,4090847,604.24,610.34,614.99,597.505
